competition_id,match_id,round,team_name,team_location,utc_start,score,completion_rate_percentage,possession_percentage,time_in_own_half,time_in_opp_half,time_in_own20,time_in_opp20,set_restarts,goal_line_dropouts,season,days_rest,season_stage,ladder_points,ladder_points_for,ladder_points_against,ladder_points_diff,ladder_position,elo,shortelo,longelo,result
9867,98670504,5,Tigers,home,2016-04-02T06:30:04Z,31.16363199999999,67.943608,52.591232000000005,1276.8846720000001,1628.468176,907.6769279999999,1015.62152,0,0.16243200000000013,2016,5.062465277777778,Early,NA,NA,NA,NA,NA,1498.602847767984,1499.9293378621146,1496.050631690882,26
9867,98670505,5,Cowboys,home,2016-04-02T08:30:05Z,20.915936000000002,75.957776,54.621472000000004,1529.742672,1476.108352,824.2294959999999,1005.749072,0,1.6611679999999998,2016,7.9757291666666665,Early,4,96,55,41,8,1510.7525942420627,1502.4641541280314,1517.776315717319,36
9867,98670505,5,Dragons,away,2016-04-02T08:30:05Z,14.686575999999999,74.82844800000001,52.063592,1518.1294240000002,1385.8513039999998,1022.071448,883.8606960000001,0,1.8802159999999999,2016,6.145833333333333,Early,4,40,66,-26,12,1501.1328273078807,1500.0539456245456,1503.3744127884675,0
9867,98670506,5,Roosters,home,2016-04-03T04:00:06Z,10.56616,81.07008800000001,46.442128,1448.8645119999999,1482.6341840000002,1113.75052,775.2332959999999,0,2.823384,2016,7.8125231481481485,Early,0,50,125,-75,16,1466.9843076449504,1492.5715662592552,1444.4024257385593,28
9867,98670506,5,Warriors,away,2016-04-03T04:00:06Z,25.314943999999997,75.39957600000001,47.8892,1606.8922,1220.0403840000001,1043.586632,951.906552,0,1.109416,2016,6.041666666666667,Early,2,90,98,-8,13,1479.6164580092811,1495.1255101006416,1467.7715859648172,32
9867,98670507,5,Eels,home,2016-04-03T06:00:07Z,5.990656000000002,62.52345600000001,45.946128,1581.4208,1501.4675920000002,1022.4711120000001,699.3522480000001,0,1.94,2016,6.041666666666667,Early,6,52,39,13,5,1524.3720898165798,1505.0704033264662,1543.8188544788225,18
9867,98670507,5,Panthers,away,2016-04-03T06:00:07Z,21.081904,66.81216,51.834399999999995,1436.847432,1417.402784,924.4314719999999,1043.939984,0,0.9930159999999999,2016,7.041689814814815,Early,2,73,84,-11,14,1468.080641420156,1492.6251256731853,1447.5924523896065,20
9867,98670508,5,Raiders,away,2016-04-04T09:00:08Z,28.531439999999996,79.77036,47.953968,1404.2184080000002,1445.522592,1063.501448,940.326648,0,1.3882480000000004,2016,9.104224537037037,Early,5,95,90,5,6,1498.2369866115025,1499.9114840273578,1494.9828085352553,22
9867,98670508,5,Bulldogs,home,2016-04-04T09:00:08Z,27.06904,83.876944,53.696304,1522.6165840000003,1338.6174480000002,845.137144,1096.0774000000001,0,3.7108,2016,10.166747685185186,Early,6,94,54,40,1,1521.503970680662,1504.928306184845,1535.5395737639176,8
9867,98670601,6,Broncos,home,2016-04-07T09:50:01Z,17.422376319999998,70.51782432,54.16648192,1475.5950308800002,1591.0085172800002,694.3842710400002,1064.45370768,0,0.22920000000000018,2016,6.031238425925926,Early,8,109,73,36,1,1532.0390208932808,1507.3761554326177,1553.0097712443765,26
9867,98670601,6,Dragons,away,2016-04-07T09:50:01Z,13.805381439999998,74.11874112000001,51.57977648,1520.3416585600003,1400.02022576,1025.24716112,864.54905424,0,1.94740304,2016,5.055509259259259,Early,4,40,102,-62,14,1489.9511569876522,1497.571288190634,1484.2029784514498,0
9867,98670602,6,Rabbitohs,home,2016-04-08T09:50:02Z,37.138434239999995,87.17132351999999,52.25622096,1504.1308232,1448.4952312,800.5899449600001,1063.91317696,0,1.6115180800000004,2016,8.031261574074074,Early,6,124,78,46,5,1509.3866315856155,1502.3937661711443,1514.0070650329023,10
9867,98670602,6,Roosters,away,2016-04-08T09:50:02Z,11.612190400000001,80.34588272,46.47560032,1451.99264128,1480.5561329600002,1111.8454888,781.6392982399999,0,2.77398096,2016,5.243009259259259,Early,0,78,157,-79,16,1455.9022433927491,1490.0899430314407,1425.745637714854,16
9867,98670603,6,Raiders,away,2016-04-09T05:00:03Z,28.139553599999996,79.3641384,48.07672992,1409.0053035200003,1447.95123648,1044.21136112,949.18704912,0,1.4249531200000003,2016,4.833275462962963,Early,7,117,98,19,3,1510.5059666899876,1502.4475804559063,1517.3068969444423,6
9867,98670603,6,Eels,home,2016-04-09T05:00:03Z,6.711216640000003,62.97204864000001,46.12936032,1567.8955520000002,1517.9395364800002,1007.50284528,716.3711131200001,0,1.8235999999999999,2016,5.958287037037037,Early,6,70,59,11,8,1511.0249960881652,1502.480890636518,1518.4170369270105,36
9867,98670604,6,Eagles,away,2016-04-09T07:30:04Z,8.908016640000003,72.75297215999998,46.65936496000001,1367.2046779200002,1503.7629899199999,1091.06391136,840.8898731199998,0,0.3888830400000003,2016,8.9340625,Early,NA,NA,NA,NA,NA,1489.4913674659442,1497.5524138595304,1482.668151134998,34
9867,98670604,6,Warriors,home,2016-04-09T07:30:04Z,25.716047359999997,75.13560144000002,48.195848,1597.358668,1236.8979609600003,1033.89143408,959.7121588800001,0,1.04285104,2016,6.145810185185185,Early,4,122,126,-4,10,1490.6985222614824,1497.607133328456,1486.4283739885225,18
9867,98670605,6,Cowboys,away,2016-04-09T09:30:05Z,21.82097984,75.60030943999999,54.70418368,1535.2781116800002,1480.84185088,808.49572624,1009.9041276799999,0,1.7414979199999998,2016,7.041666666666667,Early,6,132,55,77,4,1521.9342645622912,1504.946811561943,1536.9477500543367,22
9867,98670605,6,Panthers,home,2016-04-09T09:30:05Z,21.01698976,67.1834304,51.784335999999996,1457.19658608,1413.7186169600002,927.9455836799998,1027.6835849600002,0,1.05343504,2016,6.145810185185185,Early,4,93,102,-9,12,1481.4277351485707,1495.2146383631334,1472.9942699414185,18
9867,98670606,6,Sharks,home,2016-04-10T04:00:06Z,15.891328640000001,69.30576032,47.268669599999996,1437.2301505599999,1557.9066504000002,931.82028896,886.4275134400001,0,1.7671999999999999,2016,7.895856481481482,Early,6,104,76,28,6,1512.182890260453,1502.5351935650392,1521.8846237122482,24
9867,98670606,6,Titans,away,2016-04-10T04:00:06Z,28.12390944,74.28535808000001,54.151878880000005,1379.80670784,1694.7643555200002,666.1250680000002,1082.1665318399998,0,0.38908608000000033,2016,8.78824074074074,Early,6,116,108,8,9,1512.0431291878474,1502.5336662635189,1521.1915742390975,20
