"","player_id","firstname","surname"
"437",995802,"Luke","Garner"
"438",995805,"Suliasi","Vunivalu"
"439",995808,"Jake","Turpin"
"440",995809,"Joe","Stimson"
"441",995810,"Ben","Nakubuwai"
"442",995813,"Luke","Yates"
"443",995815,"Josh","Chudleigh"
"444",995828,"Zane","Musgrove"
"445",995830,"John","Olive"
"446",995837,"Tom","Freebairn"
"447",995838,"Matt","Dufty"
"448",995839,"Addin","Fonua-Blake"
"449",995840,"Toafofoa","Sipley"
"450",995850,"Lindsay","Collins"
"451",995851,"George","Fai"
"452",995856,"Jayden","Nikorima"
"453",995861,"Tevita","Pangai Junior"
"454",995875,"Renouf","Atoni"
"455",995877,"Royce","Hunt"
"456",995878,"Shaun","Lane"
"457",995883,"Patrice","Siolo"
"458",995886,"Jayden","Brailey"
"459",995887,"Aaron","Pene"
"460",995889,"Jamayne","Isaako"
"461",995895,"Brian","Kelly"
"462",995912,"Liam","Knight"
"463",995915,"Tom","Trbojevic"
"464",995921,"Nelson","Asofa-Solomona"
"465",995932,"Charnze","Nicoll-Klokstad"
"466",995940,"Lachlan","Fitzgibbon"
"467",995942,"Sione","Mata'utia"
"468",995944,"Danny","Levi"
"469",995953,"Viliame","Kikau"
"470",995954,"Coen","Hess"
"471",995956,"Nathan","Davis"
"472",995957,"Joey","Lussick"
"473",995959,"Josh","Aloiai"
"474",995970,"Moses","Leota"
"475",995972,"Brent","Naden"
"476",995973,"Andy","Saunders"
"477",995976,"Sione","Katoa"
"478",995979,"Waqa","Blake"
"479",995984,"Aaron","Booth"
"480",995988,"Brock","Gray"
"481",995994,"Bronson","Garlick"
"482",996003,"Jack","Bird"
"483",996008,"Luciano","Leilua"
"484",996012,"Izaac","Tu'itupou Thompson"
"485",996013,"Jacob","Host"
"486",996016,"Euan","Aitken"
"487",996018,"Adam","Clune"
"488",996022,"Drew","Hutchison"
"489",996025,"Ken","Maumalo"
"490",996028,"Sam","Cook"
"491",996029,"Sam","Lisone"
"492",996037,"Watson","Heleta"
"493",996042,"Jeremy","Marshall-King"
"494",996043,"Te Maire","Martin"
"495",996051,"Marion","Seve"
"496",996067,"Braden","Hamlin-Uele"
"497",996069,"Brad","Deitz"
"498",996073,"Vincent","Leuluai"
"499",996075,"Taane","Milne"
"500",996085,"Jacob","Gagai"
"501",996089,"Hame","Sele"
